student_id	name	email	course	year
S0071	Student71	student71@college.edu	ECE	4
S0072	Student72	student72@college.edu	ME	3
S0073	Student73	student73@college.edu	ME	3
S0074	Student74	student74@college.edu	DS	4
S0075	Student75	student75@college.edu	ECE	1
S0076	Student76	student76@college.edu	CSE	3
S0077	Student77	student77@college.edu	CSE	3
S0078	Student78	student78@college.edu	ECE	4
S0079	Student79	student79@college.edu	ME	2
S0080	Student80	student80@college.edu	ECE	4
S0081	Student81	student81@college.edu	AI&ML	4
S0082	Student82	student82@college.edu	CE	3
S0083	Student83	student83@college.edu	ECE	2
S0084	Student84	student84@college.edu	CE	1
S0085	Student85	student85@college.edu	ECE	1
S0086	Student86	student86@college.edu	DS	3
S0087	Student87	student87@college.edu	EEE	1
S0088	Student88	student88@college.edu	CSE	4
S0089	Student89	student89@college.edu	CSE	1
S0090	Student90	student90@college.edu	ECE	2
S0091	Student91	student91@college.edu	CE	3
S0092	Student92	student92@college.edu	AI&ML	4
S0093	Student93	student93@college.edu	AI&ML	2
S0094	Student94	student94@college.edu	CE	4
S0095	Student95	student95@college.edu	ME	1
S0096	Student96	student96@college.edu	ECE	3
S0097	Student97	student97@college.edu	CSE	1
S0098	Student98	student98@college.edu	CE	1
S0099	Student99	student99@college.edu	DS	2
S0100	Student100	student100@college.edu	ECE	1
S0101	Student101	student101@college.edu	DS	3
S0102	Student102	student102@college.edu	ME	4
S0103	Student103	student103@college.edu	ECE	3
S0104	Student104	student104@college.edu	EEE	2
S0105	Student105	student105@college.edu	CE	2
S0106	Student106	student106@college.edu	ME	2
S0107	Student107	student107@college.edu	CE	2
S0108	Student108	student108@college.edu	CSE	3
S0109	Student109	student109@college.edu	AI&ML	3
S0110	Student110	student110@college.edu	DS	1
S0111	Student111	student111@college.edu	ECE	3
S0112	Student112	student112@college.edu	ME	2
S0113	Student113	student113@college.edu	CE	1
S0114	Student114	student114@college.edu	CSE	3
S0115	Student115	student115@college.edu	CSE	3
S0116	Student116	student116@college.edu	CSE	2
S0117	Student117	student117@college.edu	DS	3
S0118	Student118	student118@college.edu	CSE	2
S0119	Student119	student119@college.edu	ECE	4
S0120	Student120	student120@college.edu	EEE	2
S0121	Student121	student121@college.edu	ECE	4
S0122	Student122	student122@college.edu	DS	1
S0123	Student123	student123@college.edu	ECE	2
S0124	Student124	student124@college.edu	EEE	3
S0125	Student125	student125@college.edu	AI&ML	4
S0126	Student126	student126@college.edu	ECE	1
S0127	Student127	student127@college.edu	EEE	3
S0128	Student128	student128@college.edu	AI&ML	2
S0129	Student129	student129@college.edu	EEE	1
S0130	Student130	student130@college.edu	EEE	1
S0131	Student131	student131@college.edu	EEE	3
S0132	Student132	student132@college.edu	CSE	1
S0133	Student133	student133@college.edu	CE	4
S0134	Student134	student134@college.edu	EEE	3
S0135	Student135	student135@college.edu	DS	4
S0136	Student136	student136@college.edu	EEE	3
S0137	Student137	student137@college.edu	ECE	3
S0138	Student138	student138@college.edu	DS	3
S0139	Student139	student139@college.edu	ECE	1
S0140	Student140	student140@college.edu	CSE	2
S0141	Student141	student141@college.edu	CSE	4
S0142	Student142	student142@college.edu	ME	3
S0143	Student143	student143@college.edu	ME	4
S0144	Student144	student144@college.edu	ME	3
S0145	Student145	student145@college.edu	EEE	1
S0146	Student146	student146@college.edu	DS	4
S0147	Student147	student147@college.edu	CSE	1
S0148	Student148	student148@college.edu	AI&ML	1
S0149	Student149	student149@college.edu	DS	3
S0150	Student150	student150@college.edu	CSE	3
S0151	Student151	student151@college.edu	AI&ML	4
S0152	Student152	student152@college.edu	AI&ML	2
S0153	Student153	student153@college.edu	CE	4
S0154	Student154	student154@college.edu	EEE	2
S0155	Student155	student155@college.edu	DS	3
S0156	Student156	student156@college.edu	ME	3
S0157	Student157	student157@college.edu	ME	2
S0158	Student158	student158@college.edu	ECE	3
S0159	Student159	student159@college.edu	CSE	1
S0160	Student160	student160@college.edu	DS	4
S0161	Student161	student161@college.edu	ECE	3
S0162	Student162	student162@college.edu	ME	1
S0163	Student163	student163@college.edu	DS	1
S0164	Student164	student164@college.edu	CSE	3
S0165	Student165	student165@college.edu	CE	2
S0166	Student166	student166@college.edu	AI&ML	2
S0167	Student167	student167@college.edu	ECE	4
S0168	Student168	student168@college.edu	AI&ML	4
S0169	Student169	student169@college.edu	CSE	2
S0170	Student170	student170@college.edu	EEE	4
S0171	Student171	student171@college.edu	ECE	1
S0172	Student172	student172@college.edu	ME	2
S0173	Student173	student173@college.edu	AI&ML	4
S0174	Student174	student174@college.edu	CSE	3
S0175	Student175	student175@college.edu	DS	1
S0176	Student176	student176@college.edu	AI&ML	1
S0177	Student177	student177@college.edu	CSE	1
S0178	Student178	student178@college.edu	DS	4
S0179	Student179	student179@college.edu	EEE	1
S0180	Student180	student180@college.edu	CE	3
S0181	Student181	student181@college.edu	EEE	4
S0182	Student182	student182@college.edu	DS	2
S0183	Student183	student183@college.edu	ME	4
S0184	Student184	student184@college.edu	ECE	2
S0185	Student185	student185@college.edu	CE	2
S0186	Student186	student186@college.edu	CE	4
S0187	Student187	student187@college.edu	CSE	1
S0188	Student188	student188@college.edu	ECE	2
S0189	Student189	student189@college.edu	CE	4
S0190	Student190	student190@college.edu	AI&ML	4
S0191	Student191	student191@college.edu	EEE	2
S0192	Student192	student192@college.edu	AI&ML	3
S0193	Student193	student193@college.edu	ECE	4
S0194	Student194	student194@college.edu	CE	2
S0195	Student195	student195@college.edu	ME	1
S0196	Student196	student196@college.edu	CSE	4
S0197	Student197	student197@college.edu	ECE	4
S0198	Student198	student198@college.edu	DS	1
S0199	Student199	student199@college.edu	DS	3
S0200	Student200	student200@college.edu	ECE	3
S0201	Student201	student201@college.edu	ME	2
S0202	Student202	student202@college.edu	ME	4
S0203	Student203	student203@college.edu	DS	4
S0204	Student204	student204@college.edu	AI&ML	3
S0205	Student205	student205@college.edu	CE	1
S0206	Student206	student206@college.edu	CE	3
S0207	Student207	student207@college.edu	ME	1
S0208	Student208	student208@college.edu	CSE	1
S0209	Student209	student209@college.edu	AI&ML	1
S0210	Student210	student210@college.edu	ECE	1
S0211	Student211	student211@college.edu	ECE	3
S0212	Student212	student212@college.edu	AI&ML	3
S0213	Student213	student213@college.edu	CE	1
S0214	Student214	student214@college.edu	CSE	3
S0215	Student215	student215@college.edu	DS	3
S0216	Student216	student216@college.edu	CSE	2
S0217	Student217	student217@college.edu	DS	3
S0218	Student218	student218@college.edu	DS	3
S0219	Student219	student219@college.edu	ME	4
S0220	Student220	student220@college.edu	CE	1
S0221	Student221	student221@college.edu	AI&ML	4
S0222	Student222	student222@college.edu	AI&ML	4
S0223	Student223	student223@college.edu	DS	4
S0224	Student224	student224@college.edu	CE	4
S0225	Student225	student225@college.edu	CE	2
S0226	Student226	student226@college.edu	AI&ML	2
S0227	Student227	student227@college.edu	ME	2
S0228	Student228	student228@college.edu	ME	2
S0229	Student229	student229@college.edu	CSE	3
S0230	Student230	student230@college.edu	AI&ML	4
S0231	Student231	student231@college.edu	ECE	3
S0232	Student232	student232@college.edu	DS	4
S0233	Student233	student233@college.edu	ECE	2
S0234	Student234	student234@college.edu	ECE	3
S0235	Student235	student235@college.edu	ME	4
S0236	Student236	student236@college.edu	AI&ML	2
S0237	Student237	student237@college.edu	ECE	2
S0238	Student238	student238@college.edu	ECE	4
S0239	Student239	student239@college.edu	DS	3
S0240	Student240	student240@college.edu	AI&ML	3
S0241	Student241	student241@college.edu	EEE	1
S0242	Student242	student242@college.edu	ECE	1
S0243	Student243	student243@college.edu	AI&ML	4
S0244	Student244	student244@college.edu	EEE	2
S0245	Student245	student245@college.edu	AI&ML	2
S0246	Student246	student246@college.edu	DS	2
S0247	Student247	student247@college.edu	AI&ML	1
S0248	Student248	student248@college.edu	ECE	2
S0249	Student249	student249@college.edu	ECE	3
S0250	Student250	student250@college.edu	CSE	1
S0251	Student251	student251@college.edu	EEE	2
S0252	Student252	student252@college.edu	ME	2
S0253	Student253	student253@college.edu	EEE	1
S0254	Student254	student254@college.edu	ME	1
S0255	Student255	student255@college.edu	DS	4
S0256	Student256	student256@college.edu	ME	1
S0257	Student257	student257@college.edu	CSE	3
S0258	Student258	student258@college.edu	CE	1
S0259	Student259	student259@college.edu	ME	3
S0260	Student260	student260@college.edu	ECE	4
S0261	Student261	student261@college.edu	DS	2
S0262	Student262	student262@college.edu	AI&ML	4
S0263	Student263	student263@college.edu	AI&ML	3
S0264	Student264	student264@college.edu	EEE	2
S0265	Student265	student265@college.edu	AI&ML	1
S0266	Student266	student266@college.edu	DS	1
S0267	Student267	student267@college.edu	CSE	4
S0268	Student268	student268@college.edu	ME	3
S0269	Student269	student269@college.edu	ME	1
S0270	Student270	student270@college.edu	AI&ML	3
S0271	Student271	student271@college.edu	ME	3
S0272	Student272	student272@college.edu	CE	4
S0273	Student273	student273@college.edu	DS	2
S0274	Student274	student274@college.edu	ECE	3
S0275	Student275	student275@college.edu	EEE	3
S0276	Student276	student276@college.edu	EEE	1
S0277	Student277	student277@college.edu	ECE	2
S0278	Student278	student278@college.edu	ECE	2
S0279	Student279	student279@college.edu	ME	1
S0280	Student280	student280@college.edu	AI&ML	2
S0281	Student281	student281@college.edu	EEE	4
S0282	Student282	student282@college.edu	AI&ML	1
S0283	Student283	student283@college.edu	ECE	4
S0284	Student284	student284@college.edu	CE	4
S0285	Student285	student285@college.edu	EEE	4
S0286	Student286	student286@college.edu	DS	2
S0287	Student287	student287@college.edu	ME	3
S0288	Student288	student288@college.edu	ME	3
S0289	Student289	student289@college.edu	EEE	3
S0290	Student290	student290@college.edu	CE	1
S0291	Student291	student291@college.edu	CSE	1
S0292	Student292	student292@college.edu	ME	3
S0293	Student293	student293@college.edu	ECE	1
S0294	Student294	student294@college.edu	DS	1
S0295	Student295	student295@college.edu	CSE	3
S0296	Student296	student296@college.edu	DS	2
S0297	Student297	student297@college.edu	DS	4
S0298	Student298	student298@college.edu	DS	2
S0299	Student299	student299@college.edu	ME	3
S0300	Student300	student300@college.edu	AI&ML	2
S0301	Student301	student301@college.edu	CSE	2
S0302	Student302	student302@college.edu	ME	4
S0303	Student303	student303@college.edu	AI&ML	2
S0304	Student304	student304@college.edu	ECE	2
S0305	Student305	student305@college.edu	CE	1
S0306	Student306	student306@college.edu	ME	4
S0307	Student307	student307@college.edu	EEE	2
S0308	Student308	student308@college.edu	AI&ML	1
S0309	Student309	student309@college.edu	ECE	2
S0310	Student310	student310@college.edu	EEE	3
S0311	Student311	student311@college.edu	ECE	2
S0312	Student312	student312@college.edu	DS	3
S0313	Student313	student313@college.edu	AI&ML	4
S0314	Student314	student314@college.edu	CE	1
S0315	Student315	student315@college.edu	ME	4
S0316	Student316	student316@college.edu	ME	2
S0317	Student317	student317@college.edu	CSE	3
S0318	Student318	student318@college.edu	AI&ML	1
S0319	Student319	student319@college.edu	AI&ML	2
S0320	Student320	student320@college.edu	EEE	2
S0321	Student321	student321@college.edu	EEE	2
S0322	Student322	student322@college.edu	ME	3
S0323	Student323	student323@college.edu	ECE	1
S0324	Student324	student324@college.edu	CE	2
S0325	Student325	student325@college.edu	CE	3
S0326	Student326	student326@college.edu	AI&ML	2
S0327	Student327	student327@college.edu	CE	4
S0328	Student328	student328@college.edu	ME	1
S0329	Student329	student329@college.edu	CSE	3
S0330	Student330	student330@college.edu	AI&ML	4
S0331	Student331	student331@college.edu	EEE	2
S0332	Student332	student332@college.edu	AI&ML	4
S0333	Student333	student333@college.edu	CSE	1
S0334	Student334	student334@college.edu	AI&ML	4
S0335	Student335	student335@college.edu	AI&ML	4
S0336	Student336	student336@college.edu	ME	1
S0337	Student337	student337@college.edu	EEE	2
S0338	Student338	student338@college.edu	CSE	3
S0339	Student339	student339@college.edu	ECE	1
S0340	Student340	student340@college.edu	CE	1
S0341	Student341	student341@college.edu	EEE	1
S0342	Student342	student342@college.edu	ECE	3
S0343	Student343	student343@college.edu	DS	1
S0344	Student344	student344@college.edu	DS	3
S0345	Student345	student345@college.edu	ME	1
S0346	Student346	student346@college.edu	CE	2
S0347	Student347	student347@college.edu	EEE	2
S0348	Student348	student348@college.edu	ECE	1
S0349	Student349	student349@college.edu	ME	2
S0350	Student350	student350@college.edu	ECE	2
S0351	Student351	student351@college.edu	CSE	1
S0352	Student352	student352@college.edu	ME	3
S0353	Student353	student353@college.edu	AI&ML	2
S0354	Student354	student354@college.edu	CSE	2
S0355	Student355	student355@college.edu	DS	3
S0356	Student356	student356@college.edu	EEE	1
S0357	Student357	student357@college.edu	ME	4
S0358	Student358	student358@college.edu	CE	4
S0359	Student359	student359@college.edu	CE	3
S0360	Student360	student360@college.edu	CE	2
S0361	Student361	student361@college.edu	ME	3
S0362	Student362	student362@college.edu	CE	2
S0363	Student363	student363@college.edu	CE	2
S0364	Student364	student364@college.edu	CSE	1
S0365	Student365	student365@college.edu	ME	2
S0366	Student366	student366@college.edu	ME	3
S0367	Student367	student367@college.edu	DS	2
S0368	Student368	student368@college.edu	CSE	1
S0369	Student369	student369@college.edu	EEE	3
S0370	Student370	student370@college.edu	ECE	3
S0371	Student371	student371@college.edu	AI&ML	2
S0372	Student372	student372@college.edu	EEE	2
S0373	Student373	student373@college.edu	DS	2
S0374	Student374	student374@college.edu	AI&ML	4
S0375	Student375	student375@college.edu	CE	2
S0376	Student376	student376@college.edu	DS	2
S0377	Student377	student377@college.edu	ECE	3
S0378	Student378	student378@college.edu	EEE	3
S0379	Student379	student379@college.edu	CSE	3
S0380	Student380	student380@college.edu	ME	2
S0381	Student381	student381@college.edu	ECE	4
S0382	Student382	student382@college.edu	CSE	1
S0383	Student383	student383@college.edu	DS	3
S0384	Student384	student384@college.edu	EEE	2
S0385	Student385	student385@college.edu	ECE	1
S0386	Student386	student386@college.edu	ECE	2
S0387	Student387	student387@college.edu	CSE	4
S0388	Student388	student388@college.edu	ECE	2
S0389	Student389	student389@college.edu	AI&ML	3
S0390	Student390	student390@college.edu	CE	3
S0391	Student391	student391@college.edu	CE	4
S0392	Student392	student392@college.edu	AI&ML	3
S0393	Student393	student393@college.edu	CE	4
S0394	Student394	student394@college.edu	ME	4
S0395	Student395	student395@college.edu	CSE	4
S0396	Student396	student396@college.edu	DS	1
S0397	Student397	student397@college.edu	EEE	1
S0398	Student398	student398@college.edu	ECE	2
S0399	Student399	student399@college.edu	ECE	2
S0400	Student400	student400@college.edu	AI&ML	3
S0401	Student401	student401@college.edu	DS	2
S0402	Student402	student402@college.edu	DS	1
S0403	Student403	student403@college.edu	CE	4
S0404	Student404	student404@college.edu	AI&ML	4
S0405	Student405	student405@college.edu	EEE	2
S0406	Student406	student406@college.edu	CE	4
S0407	Student407	student407@college.edu	ME	4
S0408	Student408	student408@college.edu	CSE	1
S0409	Student409	student409@college.edu	AI&ML	1
S0410	Student410	student410@college.edu	CE	1
S0411	Student411	student411@college.edu	AI&ML	4
S0412	Student412	student412@college.edu	ECE	3
S0413	Student413	student413@college.edu	CSE	1
S0414	Student414	student414@college.edu	EEE	1
S0415	Student415	student415@college.edu	CSE	4
S0416	Student416	student416@college.edu	DS	2
S0417	Student417	student417@college.edu	ME	3
S0418	Student418	student418@college.edu	ECE	3
S0419	Student419	student419@college.edu	ECE	1
S0420	Student420	student420@college.edu	DS	4
S0421	Student421	student421@college.edu	DS	1
S0422	Student422	student422@college.edu	CE	4
S0423	Student423	student423@college.edu	CE	3
S0424	Student424	student424@college.edu	EEE	4
S0425	Student425	student425@college.edu	AI&ML	1
S0426	Student426	student426@college.edu	CSE	1
S0427	Student427	student427@college.edu	ECE	4
S0428	Student428	student428@college.edu	EEE	2
S0429	Student429	student429@college.edu	ME	1
S0430	Student430	student430@college.edu	ECE	4
S0431	Student431	student431@college.edu	CE	4
S0432	Student432	student432@college.edu	EEE	2
S0433	Student433	student433@college.edu	ME	1
S0434	Student434	student434@college.edu	EEE	2
S0435	Student435	student435@college.edu	DS	4
S0436	Student436	student436@college.edu	CE	1
S0437	Student437	student437@college.edu	AI&ML	1
S0438	Student438	student438@college.edu	ME	1
S0439	Student439	student439@college.edu	CE	4
S0440	Student440	student440@college.edu	AI&ML	4
S0441	Student441	student441@college.edu	CSE	4
S0442	Student442	student442@college.edu	EEE	3
S0443	Student443	student443@college.edu	ECE	3
S0444	Student444	student444@college.edu	CSE	3
S0445	Student445	student445@college.edu	ECE	1
S0446	Student446	student446@college.edu	DS	4
S0447	Student447	student447@college.edu	CE	2
S0448	Student448	student448@college.edu	ECE	4
S0449	Student449	student449@college.edu	AI&ML	2
S0450	Student450	student450@college.edu	DS	1
S0451	Student451	student451@college.edu	ECE	4
S0452	Student452	student452@college.edu	DS	2
S0453	Student453	student453@college.edu	EEE	3
S0454	Student454	student454@college.edu	AI&ML	1
S0455	Student455	student455@college.edu	CE	4
S0456	Student456	student456@college.edu	DS	2
S0457	Student457	student457@college.edu	ECE	3
S0458	Student458	student458@college.edu	AI&ML	1
S0459	Student459	student459@college.edu	DS	2
S0460	Student460	student460@college.edu	ME	4
S0461	Student461	student461@college.edu	AI&ML	1
S0462	Student462	student462@college.edu	AI&ML	3
S0463	Student463	student463@college.edu	EEE	4
S0464	Student464	student464@college.edu	DS	3
S0465	Student465	student465@college.edu	ECE	4
S0466	Student466	student466@college.edu	ME	3
S0467	Student467	student467@college.edu	DS	4
S0468	Student468	student468@college.edu	DS	4
S0469	Student469	student469@college.edu	CE	3
S0470	Student470	student470@college.edu	ME	2
S0471	Student471	student471@college.edu	EEE	4
S0472	Student472	student472@college.edu	CSE	4
S0473	Student473	student473@college.edu	ECE	4
S0474	Student474	student474@college.edu	EEE	2
S0475	Student475	student475@college.edu	CE	4
S0476	Student476	student476@college.edu	EEE	3
S0477	Student477	student477@college.edu	DS	2
S0478	Student478	student478@college.edu	CSE	4
S0479	Student479	student479@college.edu	AI&ML	4
S0480	Student480	student480@college.edu	DS	3
S0481	Student481	student481@college.edu	AI&ML	3
S0482	Student482	student482@college.edu	EEE	4
S0483	Student483	student483@college.edu	DS	4
S0484	Student484	student484@college.edu	AI&ML	3
S0485	Student485	student485@college.edu	EEE	1
S0486	Student486	student486@college.edu	ME	3
S0487	Student487	student487@college.edu	ECE	4
S0488	Student488	student488@college.edu	EEE	2
S0489	Student489	student489@college.edu	DS	3
S0490	Student490	student490@college.edu	AI&ML	1
S0491	Student491	student491@college.edu	CE	4
S0492	Student492	student492@college.edu	DS	3
S0493	Student493	student493@college.edu	ME	4
S0494	Student494	student494@college.edu	ME	1
S0495	Student495	student495@college.edu	CSE	2
S0496	Student496	student496@college.edu	ECE	1
S0497	Student497	student497@college.edu	CSE	3
S0498	Student498	student498@college.edu	DS	1
S0499	Student499	student499@college.edu	ME	4
S0500	Student500	student500@college.edu	CSE	4
